roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
11,26,False,0.9920623905380542,0.9627490152110459,0.8036885499338309,0.07625354967619244,27.571928024291992,31,2369
12,26,False,0.9510535118826517,1.0027724127903563,0.8107124647385098,0.14144331279553865,12.33981990814209,28,2426
13,26,False,0.9963835271799086,0.9555528829811557,0.8147751520469649,0.09750444512618216,24.31622886657715,30,2423
14,26,False,0.9904926239585421,0.9390085057563589,0.8257016520482796,0.07920929758172286,31.18854522705078,31,4268
15,26,False,1.0326940372827738,0.9465771262392941,0.785134110714948,0.09511891415244654,26.19553565979004,30,1176
16,26,False,0.983162377912318,0.9553239403463,0.8017405786841586,0.0967175935444079,27.391395568847656,31,2505
17,26,False,0.9670574250373216,0.9419344231984816,0.7963883569820516,0.10092580694901315,24.635284423828125,30,4136
18,26,False,0.9848410193313024,0.9491218331508774,0.8193640962915465,0.0935820127788343,23.863603591918945,31,2875
19,26,False,0.9685765091640037,0.950170134596282,0.7900508630627807,0.07577866002133019,29.027206420898438,31,3841
20,26,False,1.0344766656993076,0.9449644684929691,0.8023736245434009,0.07137365843120375,30.131229400634766,31,1921
21,26,False,0.9841447960164689,0.9413846844674234,0.8111876507807315,0.07372956526906867,30.518657684326172,31,2404
22,26,False,0.9852788715581879,0.9384066980351508,0.8166417022430317,0.07905695061934621,29.375967025756836,31,5666
1,27,False,1.0116142122577443,0.9617275864119106,0.8197095907650157,0.12944223504317434,19.351091384887695,28,1534
2,27,False,0.9689536080954969,0.8750784546257077,0.8245022287789683,0.10329428221050062,27.30665397644043,30,2386
3,27,False,1.017663904049383,0.9162958777114649,0.789611764678056,0.1508122494346217,18.294567108154297,28,931
4,27,False,0.9823454527345347,0.9172966773416634,0.8209885248885256,0.08564696060983758,27.48929214477539,30,1280
5,27,False,0.997964988153674,0.905861119477405,0.8097313336963217,0.10952816009521485,22.942739486694336,30,1140
6,27,False,0.9895762662474874,0.9618454789678627,0.8259791659248641,0.07170388071160567,32.33198547363281,31,3623
7,27,False,0.9835381946436444,0.9701597385942318,0.8213545435569136,0.08088523463199013,31.333465576171875,31,2786
8,27,False,1.0079901877405801,0.9373878600703422,0.806220776585703,0.09155458149157072,29.16506576538086,31,2165
9,27,False,0.9985546732398984,0.94774474847746,0.8148045724005106,0.09731502532958984,23.386777877807617,29,877
10,27,False,0.9661902580340739,1.0141661469441925,0.7878836095130609,0.11712977760716488,19.04047966003418,28,1017
11,27,False,0.9424355505071754,0.9530868490143908,0.814801859386993,0.08017038044176604,29.944974899291992,31,2274
12,27,False,0.9854558146784013,0.9839400689267173,0.8178992595155176,0.13692227413779812,13.136322021484375,29,2397
13,27,False,0.9791714350536113,0.9692796381149618,0.8099570079446636,0.08840805856805099,26.048324584960938,31,2140
14,27,False,0.9858115659962766,0.9536462983862337,0.8082098720842641,0.0808888084010074,31.653167724609375,31,2541
15,27,False,1.0395556765273453,0.9092753415610991,0.7890396202150296,0.1299674586245888,21.523723602294922,30,1154
